2023-10-22 02:00:38,573 INFO    MainThread:20242 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-22 02:00:38,574 INFO    MainThread:20242 [wandb_setup.py:_flush():76] Configure stats pid to 20242
2023-10-22 02:00:38,574 INFO    MainThread:20242 [wandb_setup.py:_flush():76] Loading settings from /Users/jongbeomkim/.config/wandb/settings
2023-10-22 02:00:38,574 INFO    MainThread:20242 [wandb_setup.py:_flush():76] Loading settings from /Users/jongbeomkim/Desktop/workspace/CLIP/wandb/settings
2023-10-22 02:00:38,574 INFO    MainThread:20242 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-22 02:00:38,574 INFO    MainThread:20242 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-22 02:00:38,574 INFO    MainThread:20242 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/Users/jongbeomkim/Desktop/workspace/CLIP/train.py', 'program': '/Users/jongbeomkim/Desktop/workspace/CLIP/train.py'}
2023-10-22 02:00:38,574 INFO    MainThread:20242 [wandb_init.py:_log_setup():528] Logging user logs to /Users/jongbeomkim/Desktop/workspace/CLIP/wandb/run-20231022_020038-hip0qtzg/logs/debug.log
2023-10-22 02:00:38,574 INFO    MainThread:20242 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/jongbeomkim/Desktop/workspace/CLIP/wandb/run-20231022_020038-hip0qtzg/logs/debug-internal.log
2023-10-22 02:00:38,575 INFO    MainThread:20242 [wandb_init.py:init():568] calling init triggers
2023-10-22 02:00:38,575 INFO    MainThread:20242 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-10-22 02:00:38,575 INFO    MainThread:20242 [wandb_init.py:init():618] starting backend
2023-10-22 02:00:38,575 INFO    MainThread:20242 [wandb_init.py:init():622] setting up manager
2023-10-22 02:00:38,577 INFO    MainThread:20242 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-22 02:00:38,579 INFO    MainThread:20242 [wandb_init.py:init():628] backend started and connected
2023-10-22 02:00:38,584 INFO    MainThread:20242 [wandb_init.py:init():720] updated telemetry
2023-10-22 02:00:38,601 INFO    MainThread:20242 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-22 02:00:39,127 INFO    MainThread:20242 [wandb_run.py:_on_init():2220] communicating current version
2023-10-22 02:00:39,162 INFO    MainThread:20242 [wandb_run.py:_on_init():2229] got version response 
2023-10-22 02:00:39,162 INFO    MainThread:20242 [wandb_init.py:init():804] starting run threads in backend
2023-10-22 02:00:39,203 INFO    MainThread:20242 [wandb_run.py:_console_start():2199] atexit reg
2023-10-22 02:00:39,203 INFO    MainThread:20242 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-22 02:00:39,203 INFO    MainThread:20242 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-22 02:00:39,203 INFO    MainThread:20242 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-22 02:00:39,204 INFO    MainThread:20242 [wandb_init.py:init():845] run started, returning control to user process
2023-10-22 02:00:39,204 INFO    MainThread:20242 [wandb_run.py:_config_callback():1324] config_cb None None {'SEED': 333, 'ARCHITECTURE': {'N_LAYERS': 12, 'MLP_DIM': 3072, 'N_HEADS': 12, 'DROP_PROB': 0.1, 'IMG_ENC': {'IMG_SIZE': 224, 'PATCH_SIZE': 16, 'IMG_DIM': 768}, 'TEXT_ENC': {'MAX_LEN': 64, 'TEXT_DIM': 768}}, 'TRAINING': {'VOCAB_SIZE': 49408, 'LR': 0.0002, 'N_EPOCHS': 32, 'WEIGHT_DECAY': 0.2, 'WARMUP_STEPS': 2000}, 'OPTIMIZER': {'BETA1': 0.9, 'BETA2': 0.98, 'EPS': 1e-06}}
2023-10-22 02:00:47,422 WARNING MsgRouterThr:20242 [router.py:message_loop():77] message_loop has been closed
